"Num","Building"
1,"store"
2,"dwelling"
3,"sport"
4,"store"
5,"dwelling"
6,"school"
7,"school"
8,"dwelling"
9,"school"
10,"dwelling"
11,"restaurant"
11,"school"
11,"dwelling"
11,"vehicle"
12,"dwelling"
13,"office"
14,"dwelling"
15,"dwelling"
16,"dwelling"
17,"dwelling"
18,"hospital"
19,"dwelling"
20,"dwelling"
21,"school"
22,"dwelling"
23,"dwelling"
24,"school"
25,"dwelling"
26,"dwelling"
27,"dwelling"
28,"dwelling"
29,"dwelling"
30,"school"
31,"school"
32,"dwelling"
33,"school"
34,"dwelling"
35,"school"
36,"dwelling"
37,"school"
38,"dwelling"
39,"dwelling"
40,"dwelling"
41,"dwelling"
42,"dwelling"
43,"dwelling"
44,"dwelling"
45,"dwelling"
46,"dwelling"
47,"dwelling"
48,"dwelling"
49,"dwelling"
50,"dwelling"
51,"school"
52,"sport"
53,"dwelling"
54,"dwelling"
55,"dwelling"
56,"university"
57,"dwelling"
58,"hospital"
59,"dwelling"
60,"nursery"
61,"dwelling"
62,"dwelling"
63,"dwelling"
64,"dwelling"
65,"dwelling"
66,"dwelling"
67,"dwelling"
68,"dwelling"
69,"dwelling"
70,"dwelling"
71,"school"
71,"sport"
71,"office"
72,"store"
73,"dwelling"
74,"dwelling"
75,"dwelling"
76,"dwelling"
77,"dwelling"
78,"university"
79,"store"
80,"dwelling"
81,"dwelling"
82,"dwelling"
83,"dwelling"
84,"dwelling"
85,"dwelling"
86,"dwelling"
87,"office"
88,"dwelling"
89,"dwelling"
90,"dwelling"
91,"dwelling"
92,"dwelling"
93,"nursery"
94,"dwelling"
95,"dwelling"
96,"coal mine"
97,"space station"
98,"dwelling"
99,"dwelling"
99,"store"
100,"university"
101,"dwelling"
102,"hospital"
102,"store"
102,"university"
103,"biosphere"
104,"dwelling"
105,"nursery"
105,"dwelling"
106,"dwelling"
107,"dwelling"
108,"dwelling"
109,"office"
110,"dwelling"
111,"hospital"
112,"nursery"
112,"school"
113,"hospital"
114,"space station"
115,"dwelling"
116,"hospital"
117,"dwelling"
118,"dwelling"
119,"archive"
120,"dwelling"
121,"dwelling"
122,"space station"
123,"space station"
124,"laboratory"
124,"dwelling"
124,"office"
125,"industry"
126,"dwelling"
127,"dwelling"
128,"store"
129,"sport"
130,"dwelling"
131,"laboratory"
132,"dwelling"
133,"dwelling"
134,"dwelling"
135,"dwelling"
136,"store"
136,"office"
136,"dwelling"
136,"church"
137,"dwelling"
138,"office"
139,"dwelling"
140,"dwelling"
141,"space station"
142,"dwelling"
143,"dwelling"
144,"dwelling"
