"Num","Dust_collector"
1,"vacuum"
2,"petri"
3,"petri"
4,"swab"
5,"vacuum"
6,"vacuum"
6,"other"
7,"vacuum"
8,"petri"
9,"vacuum"
10,"petri"
11,"vacuum"
12,"vacuum"
13,"swab"
14,"vacuum"
15,"active-sampler"
16,"EDC"
17,"vacuum"
17,"swab"
17,"active-sampler"
18,"other"
18,"active-sampler"
19,"vacuum"
19,"petri"
20,"vacuum"
21,"vacuum"
22,"vacuum"
22,"active-sampler"
23,"swab"
24,"vacuum"
25,"vacuum"
26,"petri"
27,"vacuum"
28,"other"
29,"swab"
30,"vacuum"
31,"vacuum"
32,"EDC"
33,"EDC"
34,"EDC"
34,"active-sampler"
35,"vacuum"
36,"vacuum"
37,"vacuum"
38,"vacuum"
39,"petri"
40,"vacuum"
40,"swab"
41,"vacuum"
42,"vacuum"
43,"EDC"
44,"vacuum"
44,"other"
44,"active-sampler"
45,"vacuum"
46,"vacuum"
47,"active-sampler"
48,"vacuum"
49,"vacuum"
50,"vacuum"
50,"active-sampler"
51,"vacuum"
52,"vacuum"
53,"vacuum"
54,"vacuum"
55,"vacuum"
56,"swab"
57,"vacuum"
58,"active-sampler"
59,"vacuum"
59,"active-sampler"
60,"HVAC"
61,"vacuum"
61,"other"
62,"petri"
62,"HVAC"
63,"vacuum"
64,"vacuum"
65,"vacuum"
66,"swab"
66,"active-sampler"
67,"EDC"
67,"active-sampler"
68,"vacuum"
69,"vacuum"
70,"vacuum"
71,"vacuum"
72,"HVAC"
73,"vacuum"
74,"vacuum"
75,"vacuum"
76,"vacuum"
77,"vacuum"
78,"vacuum"
79,"vacuum"
79,"HVAC"
79,"active-sampler"
80,"vacuum"
81,"petri"
82,"swab"
83,"petri"
84,"petri"
84,"HVAC"
85,"EDC"
86,"swab"
87,"vacuum"
87,"petri"
88,"vacuum"
89,"EDC"
90,"vacuum"
91,"HVAC"
92,"vacuum"
93,"active-sampler"
94,"swab"
95,"HVAC"
96,"active-sampler"
97,"swab"
97,"active-sampler"
98,"EDC"
99,"other"
100,"active-sampler"
101,"EDC"
102,"other"
103,"active-sampler"
104,"other"
105,"vacuum"
106,"other"
107,"other"
108,"swab"
109,"swab"
109,"active-sampler"
110,"vacuum"
110,"swab"
110,"petri"
111,"swab"
112,"vacuum"
112,"HVAC"
113,"swab"
114,"vacuum"
114,"HVAC"
114,"other"
115,"vacuum"
116,"petri"
116,"HVAC"
116,"other"
116,"active-sampler"
117,"vacuum"
117,"swab"
117,"HVAC"
118,"vacuum"
119,"active-sampler"
120,"EDC"
121,"vacuum"
122,"vacuum"
122,"HVAC"
123,"vacuum"
123,"HVAC"
124,"EDC"
124,"petri"
124,"other"
125,"other"
125,"active-sampler"
126,"swab"
127,"vacuum"
128,"HVAC"
129,"swab"
130,"vacuum"
131,"petri"
132,"vacuum"
133,"vacuum"
134,"EDC"
134,"vacuum"
135,"vacuum"
135,"HVAC"
135,"active-sampler"
136,"vacuum"
137,"vacuum"
138,"vacuum"
139,"EDC"
140,"EDC"
141,"vacuum"
142,"vacuum"
143,"swab"
144,"swab"
