"Num","Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extras","Citation_key","PMID","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
1,"FCT3ZULZ","journalArticle",2023,"Fu, Xi; Du, Bingqian; Meng, Yi; Li, Yanling; Zhu, Xunhua; Ou, Zheyuan; Zhang, Mei; Wen, Huarong; Ma'pol, Aminnuddin; Hashim, Jamal Hisham; Hashim, Zailina; Wieslander, Gunilla; Chen, Qingmei; Jiang, Jun; Wang, Juan; Norbäck, Dan; Xia, Yun; Chen, Qingsong; Sun, Yu","Associations between environmental characteristics, high-resolution indoor microbiome, metabolome and allergic and non-allergic rhinitis symptoms for junior high school students","Environmental Science: Processes & Impacts",NA,"2050-7887","10.1039/D2EM00480A","https://xlink.rsc.org/?DOI=D2EM00480A","Bacteria Brasilonema bromeliae and Aeromonas enteropelogenes and the metabolite pipecolic acid were protectively associated with both allergic and non-allergic rhinitis symptoms. Pipecolic acid was highly co-occurrent with B. bromeliae .","2023","25/04/2024 16:33","25/04/2024 16:33",NA,"791–804",NA,"4","25",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Citation Key: fu2023a PMID: 36883483","fu2023a ",36883483,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"XB5RSEM3","journalArticle",2023,"Dockx, Yinthe; Täubel, Martin; Hogervorst, Janneke; Luyten, Leen; Peusens, Martien; Rasking, Leen; Sleurs, Hanne; Witters, Katrien; Plusquin, Michelle; Valkonen, Maria; Nawrot, Tim S.; Casas, Lidia","Association of indoor dust microbiota with cognitive function and behavior in preschool-aged children","Microbiome",NA,"2049-2618","10.1186/s40168-022-01406-9","https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-022-01406-9","Background: Childhood cognitive development depends on neuroimmune interactions. Immunomodulation by early-life microbial exposure may influence neuropsychological function. In this study, we investigate the association between residential indoor microbiota and cognition and behavior among preschoolers. Results: Indoor-settled dust bacterial and fungal characteristics were assessed using 16S and ITS amplicon sequencing (microbial diversity) and qPCR measurements (microbial loads). Child behavior was assessed using four scales: peer relationship, emotional, conduct, and hyperactivity was assessed by the Strengths and Difficulties Questionnaire (SDQ). Cognitive function was assessed using four tasks of the Cambridge Neuropsychological Test Automated Battery (CANTAB) software. The first two tasks were designed to assess attention and psychomotor speed (Motor Screening (MOT) and Big/Little Circle (BLC)) and the last two to evaluate the child's visual recognition/working memory (Spatial Span (SSP) and Delayed Matching to Sample (DMS)). Among the 172 included children (age 4–6 years), we observed a 51% (95%CI;75%;9%) lower odds of children scoring not normal for hyperactivity and a decrease of 3.20% (95%CI, −6.01%; −0.30%) in BLC response time, for every IQR increase in fungal Shannon diversity. Contrarily, microbial loads were directly associated with SDQ scales and response time. For example, a 2-fold increase in Gram-positive bacterial load was associated with 70% (95%CI 18%; 156%) higher odds of scoring not normal for hyperactivity and an increase of 5.17% (95%CI 0.87%; 9.65%) in DMS response time. Conclusions: Our findings show that early-life exposure to diverse indoor fungal communities is associated with better behavioral and cognitive outcomes, whereas higher indoor microbial load was associated with worse outcomes. [MediaObject not available: see fulltext.].","2023-01","25/04/2024 16:33","25/04/2024 16:33",NA,"1",NA,"1","11",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Citation Key: dockx2023a PMID: 36593490","dockx2023a ",36593490,NA,NA,NA,"Behavior; Childhood; Cognition; Diversity; Indoor; Microbiota",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"5G5NSVNX","journalArticle",2023,"Andersson, Maria (Aino); Vornanen-Winqvist, Camilla; Koivisto, Tuomas; Varga, András; Mikkola, Raimo; Kredics, László; Salonen, Heidi","Composition of culturable microorganisms in dusts collected from sport facilities in finland during the COVID-19 pandemic","Pathogens (Basel, Switzerland)",NA,"2076-0817","10.3390/pathogens12020339","https://www.mdpi.com/2076-0817/12/2/339","Sport facilities represent extreme indoor environments due to intense cleaning and disinfection. The aim of this study was to describe the composition of the cultivated microbiota in dust samples collected in sport facilities during the COVID-19 pandemic. A dust sample is defined as the airborne dust sedimented on 0.02 m2 within 28 d. The results show that the microbial viable counts in samples of airborne dust (n = 9) collected from seven Finnish sport facilities during the pandemic contained a high proportion of pathogenic filamentous fungi and a low proportion of bacteria. The microbial viable counts were between 14 CFU and 189 CFU per dust sample. In seven samples from sport facilities, 20–85% of the microbial viable counts were fungi. Out of 123 fungal colonies, 47 colonies belonged to the potentially pathogenic sections of Aspergillus (Sections Fumigati, Nigri, and Flavi). Representatives of each section were identified as Aspergillus fumigatus, A. flavus, A. niger and A. tubingensis. Six colonies belonged to the genus Paecilomyces. In six samples of dust, a high proportion (50–100%) of the total fungal viable counts consisted of these potentially pathogenic fungi. A total of 70 isolates were considered less likely to be pathogenic, and were identified as Aspergillus section Nidulantes, Chaetomium cochliodes and Penicillium sp. In the rural (n = 2) and urban (n = 7) control dust samples, the microbial viable counts were >2000 CFU and between 44 CFU and 215 CFU, respectively, and consisted mainly of bacteria. The low proportion of bacteria and the high proportion of stress tolerant, potentially pathogenic fungi in the dust samples from sport facilities may reflect the influence of disinfection on microbial communities.","2023-02","25/04/2024 16:33","25/04/2024 16:33",NA,"339",NA,"2","12",NA,"Pathogens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Citation Key: andersson2023a","andersson2023a",NA,NA,NA,NA,"airborne dust; Aspergillus; Paecilomyces; potential pathogens; sport facilities",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"7AFMJUBG","journalArticle",2023,"An, Xin-Li; Xu, Jian-Xin; Xu, Mei-Rong; Zhao, Cai-Xia; Li, Hu; Zhu, Yong-Guan; Su, Jian-Qiang","Dynamics of microbial community and potential microbial pollutants in shopping malls","mSystems",NA,"2379-5077","10.1128/msystems.00576-22","https://journals.asm.org/doi/10.1128/msystems.00576-22","Shopping malls are distinct microbial environments which can facilitate a constant transmission of microorganisms of public health concern between humans and the built environment or between human and human. Despite extensive investigation of the natural environmental microbiome, no comprehensive profile of microbial ecology has been reported in malls. Characterizing microbial distribution, potential pathogens, and antimicrobial resistance will enhance our understanding of how these microbial communities are formed, maintained, and transferred and help establish a baseline for biosurveillance of potential public health threats in malls.","2023-02","25/04/2024 16:33","25/04/2024 16:33",NA,"e00576–22",NA,"1","8",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Citation Key: an2023a","an2023a",NA,NA,NA,NA,"",NA,"Graham, Emily B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"TN4FHNTK","journalArticle",2023,"Chen, Yingxin; Li, Xinyu; Gao, Wei; Zhang, Yalin; Mo, Aoyun; Jiang, Jie; He, Defu","Microfiber-loaded bacterial community in indoor fallout and air-conditioner filter dust","Science of The Total Environment",NA,"489697","10.1016/j.scitotenv.2022.159211","https://linkinghub.elsevier.com/retrieve/pii/S0048969722063100","Microfibers (MFs) are widely existed in indoor air; however, characteristic of microbiota on MFs is largely unknown. In this study, air-borne MFs were collected from fallout or air-conditioner (AC) filter dust in three types of indoor space including living room, dormitory and office. Both plastic and natural MFs were identified by Fourier transform infrared spectroscopy. Ultramicroscopic observation showed dense biofilms adhering on surfaces of MFs. Fallout MFs contained more bacteria but fewer fungi than MFs from AC filter dust. MFs-loaded bacteria were of highest abundance in living rooms, following dormitories and offices. Bacterial community and its diversity were further analyzed by 16S rRNA High-throughput sequencing. Up to 4540 of bacterium OTUs were shared in these MFs samples, unique OTUs in fallout and AC filter samples accounting for 26.3 % and 25.7 % of the total. Compared to MFs fallout, AC filter MFs contained more species of pathogenic bacteria, such as Betaproteobacteriales and Ralstonia, with obviously different β-diversity between two groups. Phenotypic analysis showed that fallout and AC filter MFs bacteria presented high index values of film formation, oxidative stress tolerance and potential pathogenicity. Overall, these results suggest that abundant bacteria including pathogen can be loaded on MFs, and would pose health risks through delivery of indoor MFs.","2023-01","25/04/2024 16:33","25/04/2024 16:33",NA,"159211",NA,"","856",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Citation Key: chen2023a PMID: 36206901","chen2023a ",36206901,NA,NA,NA,"Bacteria; Health risks; Indoor air; Microfibers; Microplastics; Pathogen",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"NU7NUNX3","journalArticle",2022,"Sun, Yu; Zhang, Mei; Ou, Zheyuan; Meng, Yi; Chen, Yang; Lin, Ruqin; Hashim, Jamal Hisham; Hashim, Zailina; Wieslander, Gunilla; Chen, Qingsong; Norbäck, Dan; Fu, Xi","Indoor microbiome, microbial and plant metabolites, chemical compounds, and asthma symptoms in junior high school students: a multicentre association study in Malaysia","European Respiratory Journal",NA,"0903-1936","10.1183/13993003.00260-2022","http://erj.ersjournals.com/lookup/doi/10.1183/13993003.00260-2022","Background Indoor microbial exposure is associated with asthma, but the health effects of indoor metabolites and chemicals have not been comprehensively assessed. Methods We collected classroom dust from 24 junior high schools in three geographically distanced areas in Malaysia (Johor Bahru, Terengganu and Penang), and conducted culture-independent high-throughput microbiome and untargeted metabolomics/chemical profiling. Results 1290 students were surveyed for asthma symptoms (wheeze). In each centre, we found significant variation in the prevalence of wheeze among schools, which could be explained by personal characteristics and air pollutants. Large-scale microbial variations were observed between the three centres; the potential protective bacteria were mainly from phyla Actinobacteria in Johor Bahru, Cyanobacteria in Terengganu and Proteobacteria in Penang. In total, 2633 metabolites and chemicals were characterised. Many metabolites were enriched in low-wheeze schools, including plant secondary metabolites flavonoids/isoflavonoids (isoliquiritigenin, formononetin, astragalin), indole and derivatives (indole, serotonin, 1H-indole-3-carboxaldehyde), and others (biotin, chavicol). A neural network analysis showed that the indole derivatives were co-occurring with the potential protective microbial taxa, including Actinomycetospora, Fischerella and Truepera, suggesting these microorganisms may pose health effects by releasing indole metabolites. A few synthetic chemicals were enriched in high-wheeze schools, including pesticides (2 (3H)-benzothiazolethione), fragrances (2-aminobenzoic acid, isovaleric acid), detergents and plastics (phthalic acid), and industrial materials (4,4-sulfonyldiphenol). Conclusions This is the first association study between high-throughput indoor chemical profiling and asthma symptoms. The consistent results from the three centres indicate that indoor metabolites/chemicals could be a better indicator than the indoor microbiome for environmental and health assessments, providing new insights for asthma prediction, prevention and control.","2022-11","25/04/2024 16:33","25/04/2024 16:33",NA,"2200260",NA,"5","60",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Citation Key: sun2022a PMID: 35618276","sun2022a ",35618276,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"SV36Z53Z","journalArticle",2022,"Sun, Yu; Meng, Yi; Ou, Zheyuan; Li, Yanling; Zhang, Mei; Chen, Yang; Zhang, Zefei; Chen, Xingyi; Mu, Peiqiang; Norbäck, Dan; Zhao, Zhuohui; Zhang, Xin; Fu, Xi","Indoor microbiome, air pollutants and asthma, rhinitis and eczema in preschool children – A repeated cross-sectional study","Environment International",NA,"1604120","10.1016/j.envint.2022.107137","https://linkinghub.elsevier.com/retrieve/pii/S0160412022000630","Background: Indoor microbiome exposure is associated with asthma, rhinitis and eczema. However, no studies report the interactions between environmental characteristics, indoor microbiome and health effects in a repeated cross-sectional framework. Methods: 1,279 and 1,121 preschool children in an industrial city (Taiyuan) of China were assessed for asthma, rhinitis and eczema symptoms in 2012 and 2019 by self-administered questionnaires, respectively. Bacteria and fungi in classroom vacuum dust were characterized by culture-independent amplicon sequencing. Multi-level logistic/linear regression was performed in two cross-sectional and two combined models to assess the associations. Results: The number of observed species in bacterial and fungal communities in classrooms increased significantly from 2012 to 2019, and the compositions of the microbial communities were drastically changed (p < 0.001). The temporal microbiome variation was significantly larger than the spatial variation within the city (p < 0.001). Annual average outdoor SO2 concentration decreased by 60.7%, whereas NO2 and PM10 concentrations increased by 63.3% and 40.0% from 2012 to 2019, which were both associated with indoor microbiome variation (PERMANOVA p < 0.001). The prevalence of asthma (2.0% to 3.3%, p = 0.06) and rhinitis (28.0% to 25.3%, p = 0.13) were not significantly changed, but the prevalence of eczema was increased (3.6% to 7.0%; p < 0.001). Aspergillus subversicolor, Collinsella and Cutibacterium were positively associated with asthma, rhinitis and eczema, respectively (p < 0.01). Prevotella, Lactobacillus iners and Dolosigranulum were protectively (negatively) associated with rhinitis (p < 0.01), consistent with previous studies in the human respiratory tract. NO2 and PM10 concentrations were negatively associated with rhinitis in a bivariate model, but a multivariate mediation analysis revealed that Prevotella fully mediated the health effects. Conclusions: This is the first study to report the interactions between environmental characteristics, indoor microbiome and health in a repeated cross-sectional framework. The mediating effects of indoor microorganisms suggest incorporating biological with chemical exposure for a comprehensive exposure assessment.","2022-03","25/04/2024 16:33","25/04/2024 16:33",NA,"107137",NA,"","161",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Citation Key: sun2022b PMID: 35168186","sun2022b ",35168186,NA,NA,NA,"Air pollutants; Amplicon sequencing; Asthma; Eczema; Microbial diversity and community variation; Preschool children; Repeated cross-sectional study; Rhinitis",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"RPHPCXVB","journalArticle",2022,"Hickman, Brandon; Kirjavainen, Pirkka V.; Täubel, Martin; de Vos, Willem M.; Salonen, Anne; Korpela, Katri","Determinants of bacterial and fungal microbiota in Finnish home dust: Impact of environmental biodiversity, pets, and occupants","Frontiers in Microbiology",NA,"1664-302X","10.3389/fmicb.2022.1011521","https://www.frontiersin.org/articles/10.3389/fmicb.2022.1011521/full","The indoors is where many humans spend most of their time, and are strongly exposed to indoor microbiota, which may have multifaceted effects on health. Therefore, a comprehensive understanding of the determinants of indoor microbiota is necessary. We collected dust samples from 295 homes of families with young children in the Helsinki region of Finland and analyzed the bacterial and fungal composition based on the 16S rRNA and ITS DNA sequences. Microbial profiles were combined with extensive survey data on family structure, daily life, and physical characteristics of the home, as well as additional external environmental information, such as land use, and vegetational biodiversity near the home. Using permutational multivariate analysis of variance we explained 18% of the variation of the relative abundance between samples within bacterial composition, and 17% of the fungal composition with the explanatory variables. The fungal community was dominated by the phyla Basidiomycota, and Ascomycota; the bacterial phyla Proteobacteria, Firmicutes, Cyanobacteria, and Actinobacteria were dominant. The presence of dogs, multiple children, and firewood were significantly associated with both the fungal and bacterial composition. Additionally, fungal communities were associated with land use, biodiversity in the area, and the type of building, while bacterial communities were associated with the human inhabitants and cleaning practices. A distinction emerged between members of Ascomycota and Basidiomycota, Ascomycota being more abundant in homes with greater surrounding natural environment, and potential contact with the environment. The results suggest that the fungal composition is strongly dependent on the transport of outdoor environmental fungi into homes, while bacteria are largely derived from the inhabitants.","2022-11","25/04/2024 16:33","25/04/2024 16:33",NA,"1011521",NA,"","13",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Citation Key: hickman2022a","hickman2022a",NA,NA,NA,NA,"bacteria; dust; environmental; fungi; indoor",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"W9975NJQ","journalArticle",2022,"Fu, Xi; Meng, Yi; Li, Yanling; Zhu, Xunhua; Yuan, Qianqian; Ma'pol, Aminnuddin; Hashim, Jamal Hisham; Hashim, Zailina; Wieslander, Gunilla; Zheng, Yi-Wu; Lai, Xu-Xin; Spangfort, Michael Dho; Wu, Jun; Mu, Peiqiang; Wang, Juan; Norbäck, Dan; Sun, Yu","Associations between species-level indoor microbiome, environmental characteristics, and asthma in junior high schools of Terengganu, Malaysia","Air Quality, Atmosphere & Health",NA,"1873-9318","10.1007/s11869-021-01080-0","https://link.springer.com/10.1007/s11869-021-01080-0","Indoor microbiome exposure is important for asthma development, but current studies characterize the microbiome at the genus or above levels due to technical limitations. We aim to profile bacterial and fungal composition and concentration at the species level and assess its potential health effects. Four hundred sixty-three students from 8 junior high schools in Terengganu, Malaysia, were surveyed for asthma symptoms. Full-length PacBio amplicon sequencing and qPCR were conducted to quantify the absolute microbial concentration in the vacuum dust of the selected classroom. In total, 1358 bacterial and 358 fungal species were characterized, and drastic compositional variation was observed among classrooms. Three-level linear regression analyses revealed that taxa richness in Cyanobacteria were negatively associated with asthma (FDR < 0.001). The absolute concentration of Nocardioides exalbidus was protectively associated with asthma, and four bacteria species were positively associated with asthma (FDR < 0.1). Interestingly, all five species were recently isolated and characterized in Asian countries and never reported to associate with asthma. Indoor NO2 and formaldehyde concentration were associated with the overall bacterial community variation and fungal richness, respectively (p < 0.05). No environmental characteristics were directly associated with asthma, but indoor relative humidity, CO2 concentration, and weight of vacuum dust were associated with the asthma-related species (p < 0.05), suggesting a potential indirect health effect on students. This is the first study to characterize indoor microbiome and asthma-associated microorganisms at the species level, representing a region-specific microbiome exposure pattern in a tropical Asian country.","2022-06","25/04/2024 16:33","25/04/2024 16:33",NA,"1043–1055",NA,"6","15",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Citation Key: fu2022a","fu2022a",NA,NA,NA,NA,"Asthma symptoms; Environmental characteristics; Indoor microbiome; Malaysia; PacBio amplicon sequencing",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"DUMTKWTD","journalArticle",2022,"Dockx, Yinthe; Täubel, Martin; Bijnens, Esmée M.; Witters, Katrien; Valkonen, Maria; Jayaprakash, Balamuralikrishna; Hogervorst, Janneke; Nawrot, Tim S.; Casas, Lidia","Indoor green can modify the indoor dust microbial communities","Indoor Air-international Journal of Indoor Air Quality and Climate",NA,"0905-6947","10.1111/ina.13011","https://onlinelibrary.wiley.com/doi/10.1111/ina.13011","Little is known about the potential role of indoor plants in shaping the indoor microbiota. Within the ENVIRONAGE birth cohort, we collected settled dust and performed 16S and ITS amplicon sequencing and qPCR measurements to characterize the indoor microbiota, including bacterial and fungal loads and Chao1 richness, Shannon, and Simpson diversity indices. For 155 households, we obtained information on the number of indoor plants. We performed linear regression models adjusted for several a priori chosen covariables. Overall, an increase in indoor plants and density was associated with increased microbial diversity, but not load. For example, we found an increase of 64 (95%CI:3;125) and 26 (95%CI:4;48) units of bacterial and fungal taxa richness, respectively, in households with more than three plants compared to no plants. Our results support the hypothesis that indoor plants can enrich indoor microbial diversity, while impacts on microbial loads are not obvious.","2022-03","25/04/2024 16:33","25/04/2024 16:33",NA,"e13011",NA,"3","32",NA,"Indoor Air",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Citation Key: dockx2022a PMID: 35347789","dockx2022a ",35347789,NA,NA,NA,"built environment; diversity; indoor; indoor plants; microbiota",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
