"Citation_key","Country","Microbiome_type","Building","Dust_collector","Allergy","Environmental_determinants","Environ_specify","Study_Design","Causal_statements","Variable_selection"
"@fu2023a","Malaysia","Bacterial and Fungal","store","vacuum","Yes","Yes","urbanicity, outdoor PM10, indoor CO2, humidity, formaldehyde, mite allergen, cockroach allergen","Cross-sectional","Yes","Historical confounder"
"@dockx2023a","Belgium","Bacterial and Fungal","dwelling","petri","No","Yes","smoking, urbanicity, season, household members, pets, ventilation, temperature outdoor","Cohort","Yes","Historical confounder"
"@andersson2023a","Finland","Bacterial and Fungal","sport","petri","No","Yes","urbanicity, age of building, ventilation","Case-control","No","Not applicable"
"@an2023a","China","Bacterial and Fungal","store","swab","No","Yes","season, location in building","Cross-sectional","No","Not applicable"
"@chen2023a","China","Bacterial and Fungal","dwelling","vacuum","No","Yes","location in building","Cross-sectional","No","Not applicable"
"@sun2022a","Malaysia","Bacterial and Fungal","school","vacuum, other","Yes","Yes","humidity, indoor CO2, indoor NO2, ambient chemical compounds, temperature","Cross-sectional","No","Not applicable"
"@sun2022b","China","Bacterial and Fungal","school","vacuum","Yes","Yes","age of building, plants in building, recent renovation, curtains, natural ventilation, outdoor PM10, outdoor NO2, outdoor SO2, green spaces","Cross-sectional","Yes","p-value or model-based"
"@hickman2022a","Finland","Bacterial and Fungal","dwelling","petri","No","Yes","season, housing type, size of indoor environment, location in building, building material, ventilation, pets, cleaning habits, land use, biodiversity of forests nearby, number of inhabitants","Cohort","Yes","Uninformed"
"@fu2022a","Malaysia","Bacterial and Fungal","school","vacuum","Yes","Yes","urbanicity, visible mold, indoor CO2, humidity, formaldehyde, indoor NO2, outdoor NO2, mite allergen, cockroach allergen","Cross-sectional","Yes","Historical confounder"
"@dockx2022a","Finland","Bacterial and Fungal","dwelling","petri","No","Yes","household members, open kitchen connected to the living room, size of indoor environment, pets, cat, dog, rabbit, hamster, guinea pig, indoor plants, type of ventilation, black carbon, temperature","Cross-sectional","Yes","Historical confounder"
"@qin2022a","China","Bacterial, Fungal and other","restaurant, school, dwelling, vehicle","vacuum","No","No",,"Cross-sectional","No","Not applicable"
"@yang2022a","India, China, Russia","Bacterial and Fungal","dwelling","vacuum","Yes","Yes","urbanicity, farm dust microbiome","Case-control","Yes","Historical confounder"
"@li2022a","China","Bacterial and Fungal","office","swab","No","No",,"Cross-sectional","Yes","Confounding seldom considered"
